
Call:  glmnet(x = zk, y = bk) 

      Df    %Dev    Lambda
 [1,]  0 0.00000 0.2568000
 [2,]  1 0.01018 0.2340000
 [3,]  1 0.01862 0.2132000
 [4,]  1 0.02564 0.1943000
 [5,]  1 0.03146 0.1770000
 [6,]  1 0.03629 0.1613000
 [7,]  1 0.04031 0.1470000
 [8,]  1 0.04364 0.1339000
 [9,]  1 0.04640 0.1220000
[10,]  1 0.04870 0.1112000
[11,]  1 0.05061 0.1013000
[12,]  1 0.05219 0.0922900
[13,]  2 0.05467 0.0840900
[14,]  2 0.05675 0.0766200
[15,]  4 0.05916 0.0698100
[16,]  4 0.06219 0.0636100
[17,]  7 0.06540 0.0579600
[18,] 10 0.06999 0.0528100
[19,] 10 0.07511 0.0481200
[20,] 10 0.07937 0.0438500
[21,] 11 0.08293 0.0399500
[22,] 12 0.08620 0.0364000
[23,] 13 0.08953 0.0331700
[24,] 13 0.09246 0.0302200
[25,] 13 0.09489 0.0275400
[26,] 13 0.09691 0.0250900
[27,] 13 0.09858 0.0228600
[28,] 13 0.09997 0.0208300
[29,] 14 0.10120 0.0189800
[30,] 14 0.10230 0.0172900
[31,] 14 0.10320 0.0157600
[32,] 15 0.10390 0.0143600
[33,] 15 0.10470 0.0130800
[34,] 15 0.10520 0.0119200
[35,] 15 0.10570 0.0108600
[36,] 16 0.10610 0.0098960
[37,] 16 0.10650 0.0090170
[38,] 16 0.10680 0.0082160
[39,] 16 0.10710 0.0074860
[40,] 16 0.10730 0.0068210
[41,] 16 0.10750 0.0062150
[42,] 16 0.10760 0.0056630
[43,] 16 0.10770 0.0051600
[44,] 16 0.10780 0.0047010
[45,] 16 0.10790 0.0042840
[46,] 16 0.10800 0.0039030
[47,] 16 0.10800 0.0035560
[48,] 17 0.10810 0.0032400
[49,] 17 0.10810 0.0029530
[50,] 17 0.10820 0.0026900
[51,] 17 0.10820 0.0024510
[52,] 17 0.10820 0.0022340
[53,] 17 0.10820 0.0020350
[54,] 17 0.10830 0.0018540
[55,] 18 0.10830 0.0016900
[56,] 18 0.10830 0.0015390
[57,] 19 0.10830 0.0014030
[58,] 19 0.10830 0.0012780
[59,] 20 0.10830 0.0011650
[60,] 20 0.10830 0.0010610
[61,] 20 0.10830 0.0009668
[62,] 20 0.10830 0.0008809
[63,] 20 0.10830 0.0008027
[64,] 20 0.10830 0.0007314
[65,] 20 0.10830 0.0006664
[66,] 20 0.10830 0.0006072
[67,] 20 0.10830 0.0005533
[68,] 20 0.10830 0.0005041
[69,] 20 0.10840 0.0004593
[70,] 20 0.10840 0.0004185
[71,] 20 0.10840 0.0003813
