
Call:  glmnet(x = zk, y = bk) 

      Df     %Dev    Lambda
 [1,]  0 0.000000 0.2221000
 [2,]  1 0.008387 0.2024000
 [3,]  1 0.015350 0.1844000
 [4,]  2 0.027040 0.1680000
 [5,]  4 0.042980 0.1531000
 [6,]  4 0.060500 0.1395000
 [7,]  5 0.078760 0.1271000
 [8,]  5 0.094390 0.1158000
 [9,]  8 0.112800 0.1055000
[10,]  8 0.130500 0.0961500
[11,]  9 0.146200 0.0876100
[12,] 10 0.160400 0.0798200
[13,] 10 0.173100 0.0727300
[14,] 11 0.183700 0.0662700
[15,] 12 0.192900 0.0603800
[16,] 12 0.201400 0.0550200
[17,] 12 0.208400 0.0501300
[18,] 13 0.214600 0.0456800
[19,] 13 0.220300 0.0416200
[20,] 13 0.225000 0.0379200
[21,] 13 0.228900 0.0345500
[22,] 13 0.232200 0.0314800
[23,] 13 0.234900 0.0286900
[24,] 15 0.237500 0.0261400
[25,] 16 0.239900 0.0238200
[26,] 16 0.242000 0.0217000
[27,] 16 0.243700 0.0197700
[28,] 16 0.245100 0.0180200
[29,] 16 0.246300 0.0164200
[30,] 17 0.247300 0.0149600
[31,] 17 0.248200 0.0136300
[32,] 17 0.248900 0.0124200
[33,] 18 0.249600 0.0113100
[34,] 18 0.250100 0.0103100
[35,] 18 0.250600 0.0093940
[36,] 18 0.251000 0.0085590
[37,] 18 0.251300 0.0077990
[38,] 19 0.251600 0.0071060
[39,] 20 0.251800 0.0064750
[40,] 20 0.252000 0.0059000
[41,] 20 0.252200 0.0053750
[42,] 20 0.252300 0.0048980
[43,] 20 0.252500 0.0044630
[44,] 20 0.252600 0.0040660
[45,] 20 0.252600 0.0037050
[46,] 20 0.252700 0.0033760
[47,] 20 0.252800 0.0030760
[48,] 20 0.252800 0.0028030
[49,] 20 0.252800 0.0025540
[50,] 20 0.252900 0.0023270
[51,] 20 0.252900 0.0021200
[52,] 20 0.252900 0.0019320
[53,] 20 0.252900 0.0017600
[54,] 20 0.253000 0.0016040
[55,] 20 0.253000 0.0014610
[56,] 20 0.253000 0.0013320
[57,] 20 0.253000 0.0012130
[58,] 20 0.253000 0.0011050
[59,] 20 0.253000 0.0010070
[60,] 20 0.253000 0.0009178
[61,] 20 0.253000 0.0008363
[62,] 20 0.253000 0.0007620
[63,] 20 0.253000 0.0006943
[64,] 20 0.253000 0.0006326
