
Call:  glmnet(x = zk, y = bk) 

      Df     %Dev    Lambda
 [1,]  0 0.000000 0.1584000
 [2,]  3 0.006387 0.1443000
 [3,]  3 0.018960 0.1315000
 [4,]  4 0.030080 0.1198000
 [5,]  4 0.040450 0.1092000
 [6,]  4 0.049070 0.0994800
 [7,]  5 0.057420 0.0906400
 [8,]  5 0.064760 0.0825900
 [9,]  7 0.071590 0.0752500
[10,]  8 0.078760 0.0685700
[11,]  9 0.086600 0.0624800
[12,]  9 0.093310 0.0569300
[13,] 10 0.099070 0.0518700
[14,] 11 0.104700 0.0472600
[15,] 11 0.109500 0.0430600
[16,] 12 0.114200 0.0392400
[17,] 12 0.118200 0.0357500
[18,] 13 0.121800 0.0325800
[19,] 13 0.124900 0.0296800
[20,] 13 0.127400 0.0270400
[21,] 13 0.129600 0.0246400
[22,] 14 0.131300 0.0224500
[23,] 15 0.132900 0.0204600
[24,] 16 0.134200 0.0186400
[25,] 16 0.135300 0.0169800
[26,] 16 0.136300 0.0154800
[27,] 16 0.137100 0.0141000
[28,] 17 0.137800 0.0128500
[29,] 17 0.138400 0.0117100
[30,] 17 0.138900 0.0106700
[31,] 17 0.139400 0.0097190
[32,] 17 0.139800 0.0088560
[33,] 17 0.140100 0.0080690
[34,] 17 0.140300 0.0073520
[35,] 17 0.140500 0.0066990
[36,] 18 0.140700 0.0061040
[37,] 18 0.140900 0.0055620
[38,] 18 0.141000 0.0050680
[39,] 18 0.141100 0.0046170
[40,] 18 0.141200 0.0042070
[41,] 18 0.141300 0.0038340
[42,] 18 0.141300 0.0034930
[43,] 18 0.141400 0.0031830
[44,] 18 0.141400 0.0029000
[45,] 18 0.141500 0.0026420
[46,] 18 0.141500 0.0024080
[47,] 19 0.141500 0.0021940
[48,] 20 0.141600 0.0019990
[49,] 20 0.141600 0.0018210
[50,] 20 0.141600 0.0016590
[51,] 20 0.141600 0.0015120
[52,] 20 0.141600 0.0013780
[53,] 20 0.141600 0.0012550
[54,] 20 0.141600 0.0011440
[55,] 20 0.141600 0.0010420
[56,] 20 0.141600 0.0009496
[57,] 20 0.141600 0.0008652
[58,] 20 0.141600 0.0007884
[59,] 20 0.141600 0.0007183
[60,] 20 0.141700 0.0006545
[61,] 20 0.141700 0.0005964
[62,] 20 0.141700 0.0005434
[63,] 20 0.141700 0.0004951
[64,] 20 0.141700 0.0004511
