
Call:  glmnet(x = zk, y = bk) 

      Df     %Dev    Lambda
 [1,]  0 0.000000 0.2078000
 [2,]  2 0.006322 0.1894000
 [3,]  3 0.022210 0.1726000
 [4,]  4 0.037480 0.1572000
 [5,]  5 0.053130 0.1433000
 [6,]  5 0.066700 0.1305000
 [7,]  6 0.079740 0.1189000
 [8,]  6 0.090780 0.1084000
 [9,]  7 0.102700 0.0987400
[10,]  9 0.115800 0.0899700
[11,] 11 0.127800 0.0819800
[12,] 11 0.138400 0.0746900
[13,] 11 0.147200 0.0680600
[14,] 12 0.155300 0.0620100
[15,] 14 0.163100 0.0565000
[16,] 14 0.170800 0.0514800
[17,] 15 0.177400 0.0469100
[18,] 15 0.183400 0.0427400
[19,] 16 0.188500 0.0389500
[20,] 17 0.193200 0.0354900
[21,] 17 0.197000 0.0323300
[22,] 18 0.200400 0.0294600
[23,] 18 0.203200 0.0268400
[24,] 18 0.205600 0.0244600
[25,] 18 0.207500 0.0222900
[26,] 18 0.209100 0.0203100
[27,] 18 0.210500 0.0185000
[28,] 19 0.211600 0.0168600
[29,] 19 0.212500 0.0153600
[30,] 20 0.213300 0.0140000
[31,] 20 0.214000 0.0127500
[32,] 20 0.214500 0.0116200
[33,] 20 0.215000 0.0105900
[34,] 20 0.215400 0.0096470
[35,] 20 0.215700 0.0087900
[36,] 20 0.216000 0.0080090
[37,] 20 0.216200 0.0072980
[38,] 20 0.216400 0.0066490
[39,] 20 0.216500 0.0060590
[40,] 20 0.216600 0.0055200
[41,] 20 0.216700 0.0050300
[42,] 20 0.216800 0.0045830
[43,] 20 0.216900 0.0041760
[44,] 20 0.217000 0.0038050
[45,] 20 0.217000 0.0034670
[46,] 20 0.217000 0.0031590
[47,] 20 0.217100 0.0028780
[48,] 20 0.217100 0.0026230
[49,] 20 0.217100 0.0023900
[50,] 20 0.217100 0.0021770
[51,] 20 0.217200 0.0019840
[52,] 20 0.217200 0.0018080
[53,] 20 0.217200 0.0016470
[54,] 20 0.217200 0.0015010
[55,] 20 0.217200 0.0013670
[56,] 20 0.217200 0.0012460
[57,] 20 0.217200 0.0011350
[58,] 20 0.217200 0.0010340
[59,] 20 0.217200 0.0009425
[60,] 20 0.217200 0.0008588
[61,] 20 0.217200 0.0007825
[62,] 20 0.217200 0.0007130
