
Call:  glmnet(x = zk, y = bk) 

      Df    %Dev    Lambda
 [1,]  0 0.00000 0.2749000
 [2,]  1 0.01300 0.2505000
 [3,]  1 0.02380 0.2282000
 [4,]  1 0.03276 0.2079000
 [5,]  1 0.04021 0.1895000
 [6,]  1 0.04638 0.1726000
 [7,]  3 0.05294 0.1573000
 [8,]  5 0.06828 0.1433000
 [9,]  5 0.08846 0.1306000
[10,]  6 0.10950 0.1190000
[11,]  7 0.13010 0.1084000
[12,]  7 0.14790 0.0987900
[13,] 10 0.16570 0.0900100
[14,] 13 0.18800 0.0820200
[15,] 14 0.21190 0.0747300
[16,] 16 0.23270 0.0680900
[17,] 16 0.25260 0.0620400
[18,] 16 0.26920 0.0565300
[19,] 17 0.28320 0.0515100
[20,] 17 0.29490 0.0469300
[21,] 18 0.30470 0.0427600
[22,] 18 0.31300 0.0389600
[23,] 18 0.31990 0.0355000
[24,] 19 0.32570 0.0323500
[25,] 19 0.33080 0.0294800
[26,] 19 0.33510 0.0268600
[27,] 19 0.33870 0.0244700
[28,] 19 0.34160 0.0223000
[29,] 19 0.34410 0.0203200
[30,] 19 0.34610 0.0185100
[31,] 19 0.34780 0.0168700
[32,] 19 0.34920 0.0153700
[33,] 19 0.35040 0.0140000
[34,] 19 0.35140 0.0127600
[35,] 19 0.35220 0.0116300
[36,] 19 0.35280 0.0105900
[37,] 19 0.35340 0.0096520
[38,] 19 0.35380 0.0087940
[39,] 19 0.35420 0.0080130
[40,] 19 0.35450 0.0073010
[41,] 19 0.35480 0.0066530
[42,] 19 0.35500 0.0060620
[43,] 19 0.35520 0.0055230
[44,] 19 0.35530 0.0050320
[45,] 19 0.35550 0.0045850
[46,] 19 0.35560 0.0041780
[47,] 19 0.35570 0.0038070
[48,] 19 0.35570 0.0034690
[49,] 19 0.35580 0.0031610
[50,] 19 0.35580 0.0028800
[51,] 19 0.35590 0.0026240
[52,] 19 0.35590 0.0023910
[53,] 19 0.35590 0.0021780
[54,] 20 0.35600 0.0019850
[55,] 20 0.35600 0.0018090
[56,] 20 0.35600 0.0016480
[57,] 20 0.35600 0.0015020
[58,] 20 0.35600 0.0013680
[59,] 20 0.35600 0.0012470
[60,] 20 0.35610 0.0011360
[61,] 20 0.35610 0.0010350
[62,] 20 0.35610 0.0009430
[63,] 20 0.35610 0.0008592
[64,] 20 0.35610 0.0007829
[65,] 20 0.35610 0.0007133
