
Call:  glmnet(x = zk, y = bk) 

      Df     %Dev    Lambda
 [1,]  0 0.000000 0.2308000
 [2,]  1 0.008058 0.2103000
 [3,]  2 0.020230 0.1916000
 [4,]  2 0.030590 0.1746000
 [5,]  3 0.039950 0.1591000
 [6,]  4 0.051590 0.1450000
 [7,]  5 0.062690 0.1321000
 [8,]  6 0.075300 0.1204000
 [9,]  6 0.087550 0.1097000
[10,]  7 0.098240 0.0999200
[11,]  9 0.109900 0.0910400
[12,] 10 0.121100 0.0829600
[13,] 10 0.130800 0.0755900
[14,] 10 0.138900 0.0688700
[15,] 10 0.145700 0.0627500
[16,] 11 0.151900 0.0571800
[17,] 11 0.157600 0.0521000
[18,] 13 0.163200 0.0474700
[19,] 13 0.167900 0.0432500
[20,] 14 0.172000 0.0394100
[21,] 14 0.175800 0.0359100
[22,] 14 0.178900 0.0327200
[23,] 15 0.181800 0.0298100
[24,] 16 0.184300 0.0271600
[25,] 16 0.186600 0.0247500
[26,] 17 0.188600 0.0225500
[27,] 17 0.190300 0.0205500
[28,] 17 0.191700 0.0187200
[29,] 17 0.192900 0.0170600
[30,] 17 0.193800 0.0155400
[31,] 17 0.194600 0.0141600
[32,] 17 0.195300 0.0129100
[33,] 17 0.195800 0.0117600
[34,] 18 0.196300 0.0107100
[35,] 18 0.196700 0.0097620
[36,] 18 0.197000 0.0088950
[37,] 18 0.197300 0.0081050
[38,] 19 0.197500 0.0073850
[39,] 19 0.197700 0.0067290
[40,] 19 0.197900 0.0061310
[41,] 19 0.198000 0.0055860
[42,] 19 0.198100 0.0050900
[43,] 19 0.198200 0.0046380
[44,] 19 0.198300 0.0042260
[45,] 19 0.198400 0.0038510
[46,] 19 0.198400 0.0035080
[47,] 19 0.198500 0.0031970
[48,] 19 0.198500 0.0029130
[49,] 19 0.198500 0.0026540
[50,] 19 0.198600 0.0024180
[51,] 19 0.198600 0.0022030
[52,] 19 0.198600 0.0020080
[53,] 19 0.198600 0.0018290
[54,] 19 0.198600 0.0016670
[55,] 19 0.198600 0.0015190
[56,] 19 0.198600 0.0013840
[57,] 19 0.198600 0.0012610
[58,] 19 0.198700 0.0011490
[59,] 19 0.198700 0.0010470
[60,] 19 0.198700 0.0009538
[61,] 19 0.198700 0.0008691
[62,] 19 0.198700 0.0007919
[63,] 19 0.198700 0.0007215
[64,] 19 0.198700 0.0006574
