
Call:  glmnet(x = zk, y = bk) 

      Df     %Dev    Lambda
 [1,]  0 0.000000 0.1844000
 [2,]  1 0.006082 0.1680000
 [3,]  1 0.011130 0.1531000
 [4,]  3 0.016670 0.1395000
 [5,]  5 0.032710 0.1271000
 [6,]  6 0.049560 0.1158000
 [7,]  8 0.069010 0.1055000
 [8,]  9 0.085910 0.0961400
 [9,]  9 0.100900 0.0876000
[10,] 10 0.113500 0.0798200
[11,] 11 0.125000 0.0727300
[12,] 13 0.140000 0.0662700
[13,] 13 0.153400 0.0603800
[14,] 14 0.164700 0.0550200
[15,] 15 0.174500 0.0501300
[16,] 15 0.182700 0.0456800
[17,] 16 0.189600 0.0416200
[18,] 17 0.196100 0.0379200
[19,] 17 0.202000 0.0345500
[20,] 17 0.206900 0.0314800
[21,] 17 0.211000 0.0286900
[22,] 17 0.214400 0.0261400
[23,] 17 0.217200 0.0238200
[24,] 17 0.219500 0.0217000
[25,] 17 0.221500 0.0197700
[26,] 17 0.223100 0.0180200
[27,] 18 0.224400 0.0164200
[28,] 18 0.225500 0.0149600
[29,] 18 0.226500 0.0136300
[30,] 18 0.227200 0.0124200
[31,] 18 0.227900 0.0113100
[32,] 19 0.228400 0.0103100
[33,] 19 0.228900 0.0093930
[34,] 19 0.229300 0.0085590
[35,] 19 0.229700 0.0077980
[36,] 19 0.229900 0.0071060
[37,] 19 0.230200 0.0064740
[38,] 19 0.230400 0.0058990
[39,] 19 0.230500 0.0053750
[40,] 19 0.230600 0.0048980
[41,] 19 0.230700 0.0044630
[42,] 19 0.230800 0.0040660
[43,] 19 0.230900 0.0037050
[44,] 19 0.231000 0.0033760
[45,] 19 0.231000 0.0030760
[46,] 19 0.231100 0.0028030
[47,] 19 0.231100 0.0025540
[48,] 19 0.231100 0.0023270
[49,] 19 0.231200 0.0021200
[50,] 19 0.231200 0.0019320
[51,] 19 0.231200 0.0017600
[52,] 19 0.231200 0.0016040
[53,] 20 0.231200 0.0014610
[54,] 20 0.231200 0.0013310
[55,] 20 0.231200 0.0012130
[56,] 20 0.231300 0.0011050
[57,] 20 0.231300 0.0010070
[58,] 20 0.231300 0.0009177
[59,] 20 0.231300 0.0008362
[60,] 20 0.231300 0.0007619
[61,] 20 0.231300 0.0006942
[62,] 20 0.231300 0.0006326
[63,] 20 0.231300 0.0005764
