
Call:  glmnet(x = zk, y = bk) 

      Df     %Dev    Lambda
 [1,]  0 0.000000 0.1893000
 [2,]  1 0.006249 0.1725000
 [3,]  1 0.011440 0.1572000
 [4,]  3 0.019980 0.1432000
 [5,]  3 0.031130 0.1305000
 [6,]  4 0.041380 0.1189000
 [7,]  4 0.051490 0.1084000
 [8,]  5 0.061500 0.0987200
 [9,]  7 0.072200 0.0899500
[10,]  7 0.083970 0.0819600
[11,] 10 0.095270 0.0746800
[12,] 10 0.108000 0.0680500
[13,] 11 0.118800 0.0620000
[14,] 11 0.127900 0.0564900
[15,] 11 0.135400 0.0514800
[16,] 11 0.141600 0.0469000
[17,] 12 0.146900 0.0427400
[18,] 13 0.152000 0.0389400
[19,] 15 0.156500 0.0354800
[20,] 15 0.160500 0.0323300
[21,] 15 0.163700 0.0294600
[22,] 15 0.166500 0.0268400
[23,] 16 0.168900 0.0244500
[24,] 16 0.171100 0.0222800
[25,] 16 0.173000 0.0203000
[26,] 16 0.174600 0.0185000
[27,] 17 0.175900 0.0168600
[28,] 18 0.177200 0.0153600
[29,] 19 0.178500 0.0139900
[30,] 19 0.179600 0.0127500
[31,] 19 0.180400 0.0116200
[32,] 19 0.181200 0.0105900
[33,] 20 0.181800 0.0096450
[34,] 20 0.182300 0.0087890
[35,] 20 0.182700 0.0080080
[36,] 20 0.183100 0.0072960
[37,] 20 0.183400 0.0066480
[38,] 20 0.183600 0.0060580
[39,] 20 0.183800 0.0055200
[40,] 20 0.184000 0.0050290
[41,] 20 0.184100 0.0045820
[42,] 20 0.184200 0.0041750
[43,] 20 0.184300 0.0038040
[44,] 20 0.184400 0.0034660
[45,] 20 0.184500 0.0031580
[46,] 20 0.184500 0.0028780
[47,] 20 0.184600 0.0026220
[48,] 20 0.184600 0.0023890
[49,] 20 0.184600 0.0021770
[50,] 20 0.184700 0.0019840
[51,] 20 0.184700 0.0018070
[52,] 20 0.184700 0.0016470
[53,] 20 0.184700 0.0015010
[54,] 20 0.184700 0.0013670
[55,] 20 0.184700 0.0012460
[56,] 20 0.184800 0.0011350
[57,] 20 0.184800 0.0010340
[58,] 20 0.184800 0.0009424
[59,] 20 0.184800 0.0008587
[60,] 20 0.184800 0.0007824
[61,] 20 0.184800 0.0007129
[62,] 20 0.184800 0.0006495
[63,] 20 0.184800 0.0005918
[64,] 20 0.184800 0.0005393
[65,] 20 0.184800 0.0004914
